problem,metric,ccpso,nsga2,ccpso_improvement_pct,p_value,n_ccpso,n_baseline,better
SCH1,IGD,0.019100,0.025926,26.33,3.01797e-11,30,30,CCPSO
ZDT1,IGD,0.004300,0.005733,25.00,3.01041e-11,30,30,CCPSO
ZDT2,IGD,0.161500,0.005782,-2693.15,0.000398364,30,30,baseline
ZDT3,IGD,0.009600,0.006787,-41.45,3.01986e-11,30,30,baseline
ZDT4,IGD,4.772100,0.005458,-87333.13,3.01418e-11,30,30,baseline
ZDT6,IGD,0.003500,0.003840,8.85,2.27802e-05,30,30,CCPSO
BNH,IGD,0.418100,0.561012,25.47,3.01986e-11,30,30,CCPSO
SRN,IGD,3.109200,1.303833,-138.47,3.01986e-11,30,30,baseline
TNK,IGD,0.992900,0.003779,-26174.15,1.21178e-12,30,30,baseline
CONSTR,IGD,0.176700,0.027606,-540.08,3.01986e-11,30,30,baseline
OSY,HV,0.000000,21978.239700,-100.00,1.21178e-12,30,30,baseline
