problem,algorithm,igd_mean,igd_std,hv_feasible_mean (fixed ref),hv_std,spread_mean,spread_std,front_feasibility_pct_mean,front_feasibility_pct_std,archive_size_mean,run_time_s_mean
SCH1,MGPSO,0.0191,0.0001,12097.2783,0.0002,0.0959,0.0098,100.0000,0.0000,100.0000,1.4100
ZDT1,MGPSO,0.0213,0.0065,0.8388,0.0121,0.6120,0.1216,100.0000,0.0000,97.0000,0.7567
ZDT2,MGPSO,0.0481,0.0391,0.4791,0.0502,0.4656,0.2077,100.0000,0.0000,78.3333,0.7900
ZDT3,MGPSO,0.2185,0.0254,0.8549,0.0596,0.8463,0.0141,100.0000,0.0000,44.6667,0.5400
ZDT4,MGPSO,10.6482,1.5476,0.0000,0.0000,0.9626,0.0358,100.0000,0.0000,12.6667,0.4433
ZDT6,MGPSO,0.0062,0.0039,0.4961,0.0114,1.3273,0.0127,100.0000,0.0000,100.0000,1.3100
BNH,MGPSO,0.4140,0.0008,7219.2157,0.4458,0.3393,0.0071,100.0000,0.0000,100.0000,1.1900
BNH,MGPSO_feasarch,0.4220,0.0023,7219.2798,0.2748,0.3507,0.0058,100.0000,0.0000,100.0000,1.1867
BNH,CCPSO_filter,0.4269,0.0025,7218.5784,0.4907,0.3491,0.0222,100.0000,0.0000,100.0000,1.6800
BNH,CCPSO_strict,0.4260,0.0004,7219.1599,0.2702,0.3642,0.0174,100.0000,0.0000,100.0000,1.6900
SRN,MGPSO,3.2020,0.0489,44071.8204,2282.8484,0.4978,0.0045,5.0000,0.8165,100.0000,1.1567
SRN,MGPSO_feasarch,1.0170,0.0383,54296.6739,41.8081,0.1799,0.0095,100.0000,0.0000,100.0000,0.8433
SRN,CCPSO_filter,0.9231,0.0066,54407.1098,1.2744,0.0952,0.0057,100.0000,0.0000,100.0000,1.5233
SRN,CCPSO_strict,0.9194,0.0068,54411.4394,5.4510,0.1036,0.0026,100.0000,0.0000,100.0000,1.5233
TNK,MGPSO,0.9929,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,100.0000,0.7800
TNK,MGPSO_feasarch,0.0180,0.0069,0.8735,0.0036,0.8851,0.0143,100.0000,0.0000,53.0000,0.4233
TNK,CCPSO_filter,0.0097,0.0015,0.8874,0.0004,0.9199,0.0123,100.0000,0.0000,99.6667,1.0033
TNK,CCPSO_strict,0.0106,0.0017,0.8869,0.0006,0.9732,0.0605,100.0000,0.0000,100.0000,0.9767
CONSTR,MGPSO,0.1767,0.0001,3.7924,0.0103,0.6382,0.0131,25.0000,0.0000,100.0000,1.2133
CONSTR,MGPSO_feasarch,0.0495,0.0048,5.2581,0.0057,0.9976,0.0281,100.0000,0.0000,100.0000,0.9500
CONSTR,CCPSO_filter,0.0308,0.0007,5.2928,0.0014,0.6757,0.0165,100.0000,0.0000,100.0000,1.5067
CONSTR,CCPSO_strict,0.0300,0.0020,5.2904,0.0009,0.6688,0.0316,100.0000,0.0000,100.0000,1.4700
OSY,MGPSO,,,0.0000,0.0000,,,0.0000,0.0000,100.0000,0.7700
OSY,MGPSO_feasarch,,,17935.7721,284.6788,,,100.0000,0.0000,16.3333,0.3333
OSY,CCPSO_filter,,,17648.0073,1114.7204,,,100.0000,0.0000,17.3333,0.7433
OSY,CCPSO_strict,,,19751.9150,203.8884,,,100.0000,0.0000,36.6667,0.5533
