run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.55167083,7211.10507226,100.0000,100
2,0.54387915,7209.96979934,100.0000,100
3,0.58140452,7212.30323537,100.0000,100
4,0.53477459,7210.74533814,100.0000,100
5,0.50738858,7212.67604601,100.0000,100
6,0.53204940,7212.12236402,100.0000,100
7,0.52371773,7211.86412225,100.0000,100
8,0.61882181,7209.25704807,100.0000,100
9,0.53869750,7209.56593734,100.0000,100
10,0.54600374,7211.64333289,100.0000,100
11,0.55977415,7211.45601381,100.0000,100
12,0.59856075,7207.05995813,100.0000,100
13,0.53038080,7211.76561754,100.0000,100
14,0.57832847,7208.55276173,100.0000,100
15,0.54564849,7211.91778084,100.0000,100
16,0.55620837,7210.44253467,100.0000,100
17,0.56974646,7211.96532268,100.0000,100
18,0.63179253,7207.13398297,100.0000,100
19,0.52108787,7213.49337209,100.0000,100
20,0.54422980,7213.10082402,100.0000,100
21,0.54868806,7210.78303641,100.0000,100
22,0.65081781,7208.99665185,100.0000,100
23,0.51388053,7212.44792851,100.0000,100
24,0.56587549,7212.17099237,100.0000,100
25,0.56216470,7211.54241860,100.0000,100
26,0.66335241,7208.55955023,100.0000,100
27,0.57066541,7211.15371640,100.0000,100
28,0.56672972,7210.38950441,100.0000,100
29,0.51990610,7212.39221227,100.0000,100
30,0.55410893,7209.46733543,100.0000,100
