run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.02956113,5.30332371,100.0000,100
2,0.02900482,5.30232619,100.0000,100
3,0.02847870,5.30147494,100.0000,100
4,0.02640150,5.30265873,100.0000,100
5,0.02726079,5.30333785,100.0000,100
6,0.02748290,5.30091198,100.0000,100
7,0.02848786,5.30319269,100.0000,100
8,0.02753906,5.30220035,100.0000,100
9,0.02609167,5.30331606,100.0000,100
10,0.02834324,5.30242721,100.0000,100
11,0.02729352,5.30210740,100.0000,100
12,0.02609870,5.30162822,100.0000,100
13,0.02709165,5.30437970,100.0000,100
14,0.02581087,5.30534646,100.0000,100
15,0.02699990,5.30250739,100.0000,100
16,0.02677558,5.30306136,100.0000,100
17,0.02865884,5.30069968,100.0000,100
18,0.02725299,5.30235187,100.0000,100
19,0.02837854,5.30182109,100.0000,100
20,0.02943007,5.29913276,100.0000,100
21,0.02675935,5.30130562,100.0000,100
22,0.02607873,5.30106121,100.0000,100
23,0.02719727,5.30303159,100.0000,100
24,0.02803144,5.30148785,100.0000,100
25,0.02858800,5.30275480,100.0000,100
26,0.02667469,5.30149401,100.0000,100
27,0.02770715,5.30397005,100.0000,100
28,0.02898458,5.30280337,100.0000,100
29,0.02782397,5.30215859,100.0000,100
30,0.02788170,5.30191982,100.0000,100
