run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,,22192.51034231,100.0000,100
2,,22187.61298774,100.0000,100
3,,22191.44992563,100.0000,100
4,,22185.48954094,100.0000,100
5,,22192.40651397,100.0000,100
6,,22186.58850917,100.0000,100
7,,21665.18008190,100.0000,100
8,,22182.99385305,100.0000,100
9,,22190.69590734,100.0000,100
10,,21665.02946009,100.0000,100
11,,22188.95896184,100.0000,100
12,,21658.95542498,100.0000,100
13,,21668.15061894,100.0000,100
14,,21665.76878918,100.0000,100
15,,21678.94671933,100.0000,100
16,,21661.94200544,100.0000,100
17,,22188.89935550,100.0000,100
18,,21671.66804944,100.0000,100
19,,22197.43246848,100.0000,100
20,,22177.83196877,100.0000,100
21,,22183.01748648,100.0000,100
22,,22182.53367403,100.0000,100
23,,22186.39948092,100.0000,100
24,,22189.87276264,100.0000,100
25,,21643.60529501,100.0000,100
26,,21665.17335955,100.0000,100
27,,21672.22518161,100.0000,100
28,,22178.72876173,100.0000,100
29,,22181.98376549,100.0000,100
30,,21665.13927916,100.0000,100
