run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.02563361,12097.26676177,100.0000,100
2,0.02637063,12097.25685620,100.0000,100
3,0.02540556,12097.26670178,100.0000,100
4,0.02734813,12097.26516822,100.0000,100
5,0.02723032,12097.26246448,100.0000,100
6,0.02529825,12097.26638435,100.0000,100
7,0.02492139,12097.26495278,100.0000,100
8,0.02502074,12097.26306510,100.0000,100
9,0.02496677,12097.26611699,100.0000,100
10,0.02469198,12097.26481432,100.0000,100
11,0.02660343,12097.26424694,100.0000,100
12,0.02448752,12097.26354234,100.0000,100
13,0.02586342,12097.26195339,100.0000,100
14,0.02479230,12097.26539522,100.0000,100
15,0.02475732,12097.26279420,100.0000,100
16,0.02549798,12097.26414756,100.0000,100
17,0.02594467,12097.26222979,100.0000,100
18,0.02465054,12097.26796337,100.0000,100
19,0.02649037,12097.26224678,100.0000,100
20,0.02594484,12097.26567453,100.0000,100
21,0.02498668,12097.26400535,100.0000,100
22,0.02605829,12097.26065696,100.0000,100
23,0.02680176,12097.25745992,100.0000,100
24,0.02610959,12097.26073987,100.0000,100
25,0.02640074,12097.26058135,100.0000,100
26,0.02546591,12097.26305176,100.0000,100
27,0.02419846,12097.26620338,100.0000,100
28,0.02755766,12097.25667217,100.0000,100
29,0.02818260,12097.25891382,100.0000,100
30,0.03008484,12097.25685510,100.0000,100
