run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,1.26920773,54333.70277958,100.0000,100
2,1.37049858,54329.61134898,100.0000,100
3,1.68374622,54313.57578693,100.0000,100
4,1.21581087,54337.12328481,100.0000,100
5,1.24258292,54341.19258705,100.0000,100
6,1.25261510,54345.21373447,100.0000,100
7,1.21482591,54337.75283082,100.0000,100
8,1.22451852,54339.20614008,100.0000,100
9,1.29038777,54317.19014834,100.0000,100
10,1.10074570,54338.05846000,100.0000,100
11,1.31211740,54322.14922483,100.0000,100
12,1.29296574,54336.99335855,100.0000,100
13,1.36705874,54324.15854106,100.0000,100
14,1.15334538,54348.00466032,100.0000,100
15,1.18710604,54342.99591258,100.0000,100
16,1.17862871,54341.00148732,100.0000,100
17,1.33677497,54311.52389366,100.0000,100
18,1.26835192,54334.38509980,100.0000,100
19,1.21807662,54346.55561190,100.0000,100
20,1.38834749,54337.71158021,100.0000,100
21,1.24045792,54327.72158468,100.0000,100
22,1.26761159,54343.61439416,100.0000,100
23,1.33331213,54322.20955516,100.0000,100
24,1.64509367,54286.34969417,100.0000,100
25,1.36171003,54325.21329704,100.0000,100
26,1.19946523,54340.31880078,100.0000,100
27,1.28821605,54354.65594756,100.0000,100
28,1.41796818,54337.82227674,100.0000,100
29,1.28870406,54318.83711900,100.0000,100
30,1.50474000,54294.22738617,100.0000,100
