run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.00376869,0.89322110,100.0000,100
2,0.00354540,0.89364695,100.0000,100
3,0.00374929,0.89360868,100.0000,100
4,0.00372948,0.89259812,100.0000,100
5,0.00375346,0.89344826,100.0000,100
6,0.00373250,0.89295410,100.0000,100
7,0.00388067,0.89343856,100.0000,100
8,0.00367282,0.89342158,100.0000,100
9,0.00387130,0.89373652,100.0000,100
10,0.00367609,0.89346399,100.0000,100
11,0.00358730,0.89326644,100.0000,100
12,0.00395606,0.89329412,100.0000,100
13,0.00373394,0.89363324,100.0000,100
14,0.00386691,0.89323940,100.0000,100
15,0.00379931,0.89350789,100.0000,100
16,0.00369163,0.89356863,100.0000,100
17,0.00376781,0.89351131,100.0000,100
18,0.00381047,0.89308630,100.0000,100
19,0.00379119,0.89353522,100.0000,100
20,0.00414980,0.89308705,100.0000,100
21,0.00383223,0.89311291,100.0000,100
22,0.00390069,0.89336212,100.0000,100
23,0.00370468,0.89356389,100.0000,100
24,0.00366989,0.89339415,100.0000,100
25,0.00387613,0.89325783,100.0000,100
26,0.00395818,0.89344554,100.0000,100
27,0.00378299,0.89331082,100.0000,100
28,0.00387251,0.89357320,100.0000,100
29,0.00358861,0.89322987,100.0000,100
30,0.00364507,0.89268272,100.0000,100
