run_id,final_igd,hv_feasible,front_feasibility_pct,front_size
1,0.00540174,0.87102070,100.0000,100
2,0.00521243,0.87119567,100.0000,100
3,0.00600028,0.87025354,100.0000,100
4,0.00576870,0.87042734,100.0000,100
5,0.00509780,0.87121711,100.0000,100
6,0.00499989,0.87088929,100.0000,100
7,0.00549019,0.87104973,100.0000,100
8,0.00552540,0.87109423,100.0000,100
9,0.00515169,0.87067232,100.0000,100
10,0.00536906,0.87060577,100.0000,100
11,0.00570390,0.86988392,100.0000,100
12,0.00533599,0.87092319,100.0000,100
13,0.00584055,0.87025202,100.0000,100
14,0.00556435,0.87087004,100.0000,100
15,0.00529437,0.87126897,100.0000,100
16,0.00545666,0.87103167,100.0000,100
17,0.00543339,0.87055601,100.0000,100
18,0.00533413,0.87094805,100.0000,100
19,0.00547404,0.87093369,100.0000,100
20,0.00523550,0.87013273,100.0000,100
21,0.00605701,0.87059876,100.0000,100
22,0.00566340,0.87103214,100.0000,100
23,0.00532913,0.87093216,100.0000,100
24,0.00547985,0.87101991,100.0000,100
25,0.00551488,0.87094594,100.0000,100
26,0.00565033,0.87098013,100.0000,100
27,0.00555575,0.87084183,100.0000,100
28,0.00515980,0.87078709,100.0000,100
29,0.00514489,0.87117437,100.0000,100
30,0.00549349,0.87005095,100.0000,100
