run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.02923881,0.02568994,99.0000,40
2,0.03172582,0.02872514,98.0000,38
3,0.02775869,0.02419573,99.0000,40
4,0.03046623,0.02742634,98.0000,37
5,0.02886976,0.02786037,99.0000,42
6,0.03014267,0.02691370,100.0000,40
7,0.02916788,0.02793193,100.0000,41
8,0.02897762,0.02729230,100.0000,43
9,0.03020065,0.02798441,99.0000,40
10,0.02934059,0.02922829,99.0000,40
11,0.03073304,0.03051680,98.0000,40
12,0.02788443,0.02516972,100.0000,37
13,0.03144345,0.02889754,97.0000,42
14,0.03081369,0.03083416,99.0000,42
15,0.03143059,0.02989171,100.0000,40
16,0.03019703,0.02721427,100.0000,45
17,0.03223308,0.03024112,100.0000,45
18,0.02764783,0.02378283,100.0000,38
19,0.02917294,0.02563586,100.0000,39
20,0.02852218,0.02621751,100.0000,40
21,0.03407781,0.03380172,99.0000,52
22,0.02989885,0.02848924,100.0000,42
23,0.03047246,0.02881727,100.0000,48
24,0.03087937,0.02947610,99.0000,39
25,0.03232053,0.02910520,99.0000,43
26,0.03162452,0.03107205,99.0000,38
27,0.03064921,0.02833595,100.0000,48
28,0.02891427,0.02749261,100.0000,47
29,0.02877212,0.02673416,99.0000,35
30,0.03306313,0.03313102,100.0000,40
