run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.02912610,0.02711772,100.0000,46
2,0.02906320,0.02614740,98.0000,42
3,0.03038997,0.02845881,100.0000,43
4,0.03027414,0.03075960,100.0000,40
5,0.02967814,0.02769136,100.0000,41
6,0.03190775,0.03066322,99.0000,40
7,0.03059675,0.02679488,99.0000,35
8,0.03018430,0.02975682,99.0000,44
9,0.03184083,0.02991740,100.0000,42
10,0.03289592,0.03443762,100.0000,41
11,0.03102411,0.02897680,99.0000,42
12,0.03090594,0.02910163,99.0000,40
13,0.03527896,0.03497413,99.0000,43
14,0.02960641,0.02558806,100.0000,41
15,0.02893962,0.02741521,100.0000,47
16,0.03100354,0.03048836,100.0000,46
17,0.02879488,0.02742339,100.0000,41
18,0.03005328,0.02973203,100.0000,43
19,0.02955422,0.02988189,100.0000,41
20,0.03103090,0.02956642,99.0000,44
21,0.02837545,0.02588570,99.0000,39
22,0.03084011,0.02913859,99.0000,43
23,0.02972740,0.02683796,100.0000,48
24,0.02946485,0.02587264,99.0000,40
25,0.02883139,0.02696086,99.0000,46
26,0.02847812,0.02625095,98.0000,43
27,0.03296709,0.03137521,99.0000,45
28,0.02961102,0.02815645,100.0000,42
29,0.02788871,0.02522861,98.0000,41
30,0.03050397,0.02774116,98.0000,43
