run_id,migd,migd_bc,front_feasibility_pct,front_size
1,0.06242502,0.01128432,100.0000,38
2,0.06547973,0.01187441,100.0000,41
3,0.06587944,0.01143666,100.0000,35
4,0.06565988,0.01143702,100.0000,42
5,0.06592814,0.01197652,100.0000,38
6,0.06263049,0.01113217,100.0000,42
7,0.05983323,0.01135120,100.0000,44
8,0.05929322,0.01105386,100.0000,38
9,0.06231705,0.01125222,100.0000,29
10,0.06433164,0.01168362,100.0000,44
11,0.06985177,0.01167665,100.0000,55
12,0.06493936,0.01140535,100.0000,44
13,0.06275652,0.01097956,100.0000,48
14,0.06235961,0.01112849,100.0000,46
15,0.06250524,0.01112598,100.0000,39
16,0.06595898,0.01130745,100.0000,38
17,0.06353728,0.01139693,100.0000,39
18,0.06160206,0.01148490,100.0000,40
19,0.06233553,0.01152990,100.0000,41
20,0.06769855,0.01159678,100.0000,43
21,0.06410137,0.01140039,100.0000,38
22,0.06177543,0.01183840,100.0000,47
23,0.06409371,0.01074296,100.0000,41
24,0.06457410,0.01123154,100.0000,45
25,0.06770584,0.01181747,100.0000,46
26,0.06085108,0.01068281,100.0000,41
27,0.05998996,0.01093620,100.0000,38
28,0.06597869,0.01134922,100.0000,40
29,0.06369978,0.01165866,100.0000,40
30,0.06358791,0.01101082,100.0000,38
