problem,algorithm,migd_mean,migd_std,migd_before_change_mean,migd_before_change_std,front_feasibility_pct_mean,front_feasibility_pct_std
FDA1,MGPSO,2.5851,0.2665,2.5233,0.2641,100.0000,0.0000
FDA3,MGPSO,2.7512,0.3954,2.6947,0.3948,100.0000,0.0000
DTNK,MGPSO,0.9928,0.0002,0.9931,0.0000,0.0000,0.0000
DTNK,MGPSO_feasarch,0.0775,0.0035,0.0729,0.0031,100.0000,0.0000
DTNK,CCPSO_filter,0.0723,0.0015,0.0685,0.0016,100.0000,0.0000
DTNK,CCPSO_strict,0.0721,0.0019,0.0684,0.0018,100.0000,0.0000
DTNK2,MGPSO,0.9732,0.0003,0.9736,0.0000,0.0000,0.0000
DTNK2,MGPSO_feasarch,0.1264,0.0059,0.1215,0.0057,100.0000,0.0000
DTNK2,CCPSO_filter,0.1190,0.0042,0.1151,0.0041,100.0000,0.0000
DTNK2,CCPSO_strict,0.1189,0.0042,0.1151,0.0041,100.0000,0.0000
