problem,algorithm,migd_mean,migd_std,migd_before_change_mean,migd_before_change_std,front_feasibility_pct_mean,front_feasibility_pct_std
FDA1,MGPSO,0.1089,0.0092,0.0673,0.0080,100.0000,0.0000
FDA3,MGPSO,0.2209,0.0101,0.1862,0.0091,100.0000,0.0000
DTNK,MGPSO,0.9899,0.0002,0.9902,0.0000,0.0000,0.0000
DTNK,MGPSO_feasarch,0.0354,0.0030,0.0291,0.0026,100.0000,0.0000
DTNK,CCPSO_filter,0.0236,0.0015,0.0182,0.0015,100.0000,0.0000
DTNK,CCPSO_strict,0.0234,0.0011,0.0182,0.0011,100.0000,0.0000
DTNK3,MGPSO,0.9929,0.0002,0.9931,0.0000,0.0000,0.0000
DTNK3,MGPSO_feasarch,0.0117,0.0014,0.0106,0.0014,100.0000,0.0000
DTNK3,CCPSO_filter,0.0069,0.0007,0.0061,0.0006,100.0000,0.0000
DTNK3,CCPSO_strict,0.0069,0.0005,0.0061,0.0004,100.0000,0.0000
DTNK2,MGPSO,0.9899,0.0003,0.9902,0.0000,0.0000,0.0000
DTNK2,MGPSO_feasarch,0.0350,0.0022,0.0283,0.0021,100.0000,0.0000
DTNK2,CCPSO_filter,0.0236,0.0012,0.0184,0.0011,100.0000,0.0000
DTNK2,CCPSO_strict,0.0236,0.0013,0.0182,0.0013,100.0000,0.0000
