problem,algorithm,runs,igd_mean,igd_std,hv_mean,hv_std,front_feasibility_pct_mean,archive_size_mean
SCH1,NSGA2,30,0.025926,0.001244,12097.2630,0.0031,100.0000,100.00
ZDT1,NSGA2,30,0.005733,0.000313,0.8706,0.0003,100.0000,100.00
ZDT2,NSGA2,30,0.005782,0.000278,0.5375,0.0002,100.0000,100.00
ZDT3,NSGA2,30,0.006787,0.000322,1.3286,0.0002,100.0000,100.00
ZDT4,NSGA2,30,0.005458,0.000251,0.8708,0.0004,100.0000,100.00
ZDT6,NSGA2,30,0.003840,0.000294,0.5032,0.0001,100.0000,100.00
BNH,NSGA2,30,0.561012,0.038003,7210.8681,1.6439,100.0000,100.00
SRN,NSGA2,30,1.303833,0.126948,54330.9692,15.1097,100.0000,100.00
TNK,NSGA2,30,0.003779,0.000125,0.8933,0.0003,100.0000,100.00
CONSTR,NSGA2,30,0.027606,0.001018,5.3023,0.0012,100.0000,100.00
OSY,NSGA2,30,nan,nan,21978.2397,255.7196,100.0000,100.00
