problem,algorithm,paired_runs,clean_migd_mean,clean_migd_std,clear_migd_mean,clear_migd_std,clean_migd_bc_mean,clear_migd_bc_mean,wilcoxon_p,better
FDA1,MGPSO,30,0.1089,0.0092,0.1577,0.0063,0.0673,0.0814,1.863e-09,clean
FDA3,MGPSO,30,0.2209,0.0101,0.2606,0.0054,0.1862,0.2033,1.863e-09,clean
DTNK,MGPSO_feasarch,30,0.0354,0.0030,0.0904,0.0132,0.0291,0.0407,1.863e-09,clean
DTNK,CCPSO_filter,30,0.0236,0.0015,0.0536,0.0021,0.0182,0.0260,1.863e-09,clean
DTNK,CCPSO_strict,30,0.0234,0.0011,0.0544,0.0024,0.0182,0.0262,1.863e-09,clean
DTNK3,MGPSO_feasarch,30,0.0117,0.0014,0.0847,0.0185,0.0106,0.0419,1.863e-09,clean
DTNK3,CCPSO_filter,30,0.0069,0.0007,0.0558,0.0020,0.0061,0.0261,1.863e-09,clean
DTNK3,CCPSO_strict,30,0.0069,0.0005,0.0567,0.0025,0.0061,0.0267,1.863e-09,clean
DTNK2,MGPSO_feasarch,30,0.0350,0.0022,0.0859,0.0079,0.0283,0.0394,1.863e-09,clean
DTNK2,CCPSO_filter,30,0.0236,0.0012,0.0536,0.0019,0.0184,0.0261,1.863e-09,clean
DTNK2,CCPSO_strict,30,0.0236,0.0013,0.0538,0.0020,0.0182,0.0262,1.863e-09,clean
