problem, algorithm     , igd_mean, igd_std, hv_feasible_mean (fixed ref), hv_std   , spread_mean, spread_std, front_feasibility_pct_mean, front_feasibility_pct_std, archive_size_mean, run_time_s_mean
SCH1   , MGPSO         ,   0.0191,  0.0001,                   12097.2787,    0.0005,      0.0985,     0.0179,                   100.0000,                    0.0000,          100.0000,         16.7203
ZDT1   , MGPSO         ,   0.0043,  0.0000,                       0.8720,    0.0000,      0.1143,     0.0161,                   100.0000,                    0.0000,          100.0000,         14.4790
ZDT2   , MGPSO         ,   0.1615,  0.2777,                       0.4097,    0.2015,      0.2771,     0.2918,                   100.0000,                    0.0000,          100.0000,         14.7197
ZDT3   , MGPSO         ,   0.0096,  0.0216,                       1.3183,    0.0421,      0.4253,     0.0152,                   100.0000,                    0.0000,          100.0000,          9.8780
ZDT4   , MGPSO         ,   4.7721,  4.3035,                       0.0218,    0.0714,      0.9598,     0.1397,                   100.0000,                    0.0000,           52.6333,          6.8447
ZDT6   , MGPSO         ,   0.0035,  0.0002,                       0.5044,    0.0001,      1.3048,     0.0294,                   100.0000,                    0.0000,          100.0000,         17.6553
BNH    , MGPSO         ,   0.4181,  0.0101,                    7220.9832,    0.4140,      0.3288,     0.0191,                    99.8333,                    0.3727,          100.0000,         14.8730
BNH    , MGPSO_feasarch,   0.4155,  0.0082,                    7220.9824,    0.3849,      0.3264,     0.0131,                   100.0000,                    0.0000,          100.0000,         14.5527
BNH    , CCPSO_filter  ,   0.4171,  0.0089,                    7220.9526,    0.4818,      0.3283,     0.0148,                   100.0000,                    0.0000,          100.0000,         22.2237
BNH    , CCPSO_strict  ,   0.4202,  0.0077,                    7220.9161,    0.3728,      0.3337,     0.0150,                   100.0000,                    0.0000,          100.0000,         22.2417
SRN    , MGPSO         ,   3.1092,  0.0912,                   46463.4640, 3768.5401,      0.4812,     0.0063,                     8.3333,                    2.6119,          100.0000,         14.4213
SRN    , MGPSO_feasarch,   0.9089,  0.0090,                   54403.6638,   14.0776,      0.1015,     0.0100,                   100.0000,                    0.0000,          100.0000,          9.4860
SRN    , CCPSO_filter  ,   0.9017,  0.0058,                   54438.1971,    1.6264,      0.0646,     0.0093,                   100.0000,                    0.0000,          100.0000,         19.0910
SRN    , CCPSO_strict  ,   0.8984,  0.0066,                   54438.6370,    1.4909,      0.0646,     0.0106,                   100.0000,                    0.0000,          100.0000,         18.9423
TNK    , MGPSO         ,   0.9929,  0.0000,                       0.0000,    0.0000,      1.0000,     0.0000,                     0.0000,                    0.0000,          100.0000,          9.5373
TNK    , MGPSO_feasarch,   0.0057,  0.0007,                       0.8880,    0.0014,      0.7768,     0.0327,                   100.0000,                    0.0000,           99.9333,          6.6493
TNK    , CCPSO_filter  ,   0.0041,  0.0003,                       0.8919,    0.0005,      0.7051,     0.0245,                   100.0000,                    0.0000,           99.9667,         15.8093
TNK    , CCPSO_strict  ,   0.0043,  0.0002,                       0.8921,    0.0003,      0.7161,     0.0338,                   100.0000,                    0.0000,           99.9667,         15.1130
CONSTR , MGPSO         ,   0.1767,  0.0001,                       3.7646,    0.0356,      0.6250,     0.0145,                    24.2667,                    0.6799,          100.0000,         15.5877
CONSTR , MGPSO_feasarch,   0.0269,  0.0015,                       5.2973,    0.0021,      0.6376,     0.0335,                   100.0000,                    0.0000,          100.0000,         11.5613
CONSTR , CCPSO_filter  ,   0.0241,  0.0007,                       5.3061,    0.0006,      0.5728,     0.0179,                   100.0000,                    0.0000,          100.0000,         19.6670
CONSTR , CCPSO_strict  ,   0.0242,  0.0006,                       5.3054,    0.0011,      0.5719,     0.0187,                   100.0000,                    0.0000,          100.0000,         19.3843
OSY    , MGPSO         ,         ,        ,                       0.0000,    0.0000,            ,           ,                     0.0000,                    0.0000,          100.0000,         10.6507
OSY    , MGPSO_feasarch,         ,        ,                   20018.6639,  639.2449,            ,           ,                   100.0000,                    0.0000,           64.6000,          4.9113
OSY    , CCPSO_filter  ,         ,        ,                   19236.0575,  920.9452,            ,           ,                   100.0000,                    0.0000,           48.7333,         15.2813
OSY    , CCPSO_strict  ,         ,        ,                   20372.1570,  281.2062,            ,           ,                   100.0000,                    0.0000,           99.7667,         14.1607
